Item Name,Crop/Type,Harvest Stage,Pack Unit,SKU,Online Store,Crop Varieties,Created date,Modified date
"Basil, Aromatto",Produce,Full-Size,Pound (lb),,$ 0.00,"Basil, Basil - Aromatto | BAS-AROMA",2020-05-03,2020-05-03
"Basil, Mrs. Burns' Lemon",Produce,Full-Size,Pound (lb),,$ 0.00,"Basil, Basil - Mrs. Burns' Lemon",2020-05-03,2020-05-03
"Cress, Emerald Beads",Produce,Full-Size,Pound (lb),,$ 0.00,"Cress, Cress - Emerald Beads | CRE-EMEBD",2020-05-03,2020-05-03
"Cress, Pennycress",Produce,Full-Size,Pound (lb),,$ 0.00,"Cress, Cress - Pennycress | CRE-PENCR",2020-05-03,2020-05-03
"Cress, Wrinkled Crinkled",Produce,Full-Size,Pound (lb),,$ 0.00,"Cress, Cress - Wrinkled Crinkled",2020-05-03,2020-05-03
Flax,Produce,,Stem (st),FLA-SCAR,$ 0.50,"Flax, Flax - Scarlet",2020-05-03,2020-05-04
"Large Gourds, Ornamental Mix",Produce,,Pound (lb),,$ 0.00,"Large, Gourds - Ornamental Mix",2020-05-03,2020-05-03
"Large Pumpkins, Howden",Produce,,Pound (lb),,$ 0.00,"Large, Pumpkins - Howden",2020-05-03,2020-05-03
"Medium Pumpkins, Flat Stacker",Produce,,Pound (lb),,$ 0.00,"Medium, Pumpkins - Flat Stacker",2020-05-03,2020-05-03
"Medium Pumpkins, Racer",Produce,,Pound (lb),,$ 0.00,"Medium, Pumpkins - Racer",2020-05-03,2020-05-03
"Shiso, Perilla Purple Zi Su",Produce,Full-Size,Pound (lb),,$ 0.00,"Shiso, Shiso - Perilla Purple Zi Su",2020-05-03,2020-05-03
"Small Pumpkins, Generic Variety",Produce,,Pound (lb),,$ 0.00,,2020-05-03,2020-05-03
"Specialty Pumpkins, Casper",Produce,,Pound (lb),PUM-CASP,$ 0.50,"Specialty, Pumpkins - Casper",2020-05-03,2020-05-04
