"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"5eee90dd999dfc3709533c2a","7f271f41-f50b-43a2-ac18-a856dd4b5d05","PHYSICAL","shop","growers-choice-mixed-bouquet-petite","Petite Mixed Bouquet - Grower's Choice","<p class="""" style=""white-space:pre-wrap;"">A colorful mix of available flowers, filler and greenery - ready for your small vase.  Approximately 15 stems, 6-10” tall. </p>","SQ3008178","","","","","","","","","","","","","12.00","0.00","No","0","","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5eee946d7be4e71d54030621/1607396822021/mysterybouquet.png https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ef562df664c9e2ea408861f/1607396822036/IMG_0335.PNG"
"5eeea561221990352258e84d","cd6e384d-1b65-4f6b-bd6f-f7fe1ef2ccc8","PHYSICAL","shop","mixed-bouquet-growers-choice","Mixed Bouquet - Grower's Choice","<p class="""" style=""white-space:pre-wrap;"">A colorful mix of available flowers, filler and greenery - ready for your standard vase (like a 32 oz mason jar).  Approximately 25 stems, 8-18” tall. </p>","SQ6354022","","","","","","","","","","","","","25.00","0.00","No","0","","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5eeea7065909f30dea8c1999/1592698636734/mysterybouquet.png https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ef56268cd5f814890f5d55f/1593139899485/IMG_0334.PNG"
"5fdf7b462da99c286831434e","efd1d29f-daf4-40ed-b084-d6c03d58fc43","PHYSICAL","shop","limited-edition-2020-obff-ornament","Limited-Edition 2020 OBFF Ornament","<p class="""" style=""white-space:pre-wrap;"">To commemorate our inaguaral flower farming year!   A great gift on its own, or pair with our Gift Cards to provide something fun to look forward to in 2021!  </p><p class="""" style=""white-space:pre-wrap;"">* 2.5” clear glass ornament with dried 2020 blooms from the farm.</p>","SQ4830955","","","","","","","","","","","","","10.00","0.00","No","18","","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5fdf7b842da99c28683148ef/1612228907628/IMG_7194.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5fdf7b92f11f517dbbda3435/1612228907481/IMG_7203.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5fdf7b9afb7de13a646eb969/1612228907499/IMG_7188.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5fdf7baafb7de13a646eba35/1612228907504/IMG_7190.JPEG"
"601ed2146a783e637c753342","72d81056-f23d-4a7b-b8f4-009672ee4685","SERVICE","shop","floral-club-subscription-bbmldx","DELUXE - Floral Club Subscription ","<p class="""" style=""white-space:pre-wrap;"">The Deluxe bouquets will be a fun mix of 35-40 stems of available flowers, filler and foliage.</p><p class="""" style=""white-space:pre-wrap;"">Options include: <br><span style=""text-decoration:underline""><strong>Wrapped Bundle</strong></span> (in craft paper) <strong>$45 </strong>or <br><span style=""text-decoration:underline""><strong>Arranged Bouquet</strong></span> (in a vase) <strong>$60</strong></p><p class="""" style=""white-space:pre-wrap;"">Weekly: <br>W1: Early Season (9 wks) - Jun 14-Aug 9<br>W2: Mid Season (9 wks) - Aug 16-Oct 11<br>W3: Full Season (18 wks) - Jun 14-Oct 11<br>        <strong>* W3 Full season is discounted 10%</strong></p><p class="""" style=""white-space:pre-wrap;"">Bi-Weekly: <br>B1: Full Season (8 wks) - Jun 21-Sep 20</p><p class="""" style=""white-space:pre-wrap;"">Monthly:<br>M1: Full Season (4 wks) - Starting Jun 28</p><p class="""" data-rte-preserve-empty=""true"" style=""white-space:pre-wrap;""></p>","DWBWKEarly9","Frequency","9wks - Early Season","Type","Wrapped Bundle","","","","","","","","","400.00","0.00","No","Unlimited","","","","","","","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/601f16ab06ca9e6cc38c3b4d/1612650170753/2.png"
"","92453524-a82b-4ee3-9a8e-6b3d505d1660","","","","","","DWBWKMid9","Frequency","9 wks - Mid Season","Type","Wrapped Bundle","","","","","","","","","400.00","0.00","No","Unlimited","","","","","","","",""
"","b38225cc-b02f-41ff-a5d1-7cefc363c75d","","","","","","DWBWKFull18","Frequency","18 wks - Full Season","Type","Wrapped Bundle","","","","","","","","","775.00","0.00","No","Unlimited","","","","","","","",""
"","23d3e32c-612f-4da9-8690-792e18a20e6f","","","","","","DWBBiWk8","Frequency","8 wks - BiWeekly","Type","Wrapped Bundle","","","","","","","","","360.00","0.00","No","Unlimited","","","","","","","",""
"","e3199844-b3fc-4c1d-86f1-485674c71aac","","","","","","DWBMo4","Frequency","4 wks - Monthly","Type","Wrapped Bundle","","","","","","","","","180.00","0.00","No","Unlimited","","","","","","","",""
"","f845499b-b299-43b0-ab15-abb43723a757","","","","","","DARWKEarly9","Frequency","9wks - Early Season","Type","Arranged","","","","","","","","","540.00","0.00","No","Unlimited","","","","","","","",""
"","a4f8a5ea-8139-4c8c-af30-c971b78ec6b8","","","","","","DARWKMid9","Frequency","9 wks - Mid Season","Type","Arranged","","","","","","","","","540.00","0.00","No","Unlimited","","","","","","","",""
"","66e6ed07-4098-4c51-b087-11a4b5e21d8f","","","","","","DARWKFull18","Frequency","18 wks - Full Season","Type","Arranged","","","","","","","","","975.00","0.00","No","Unlimited","","","","","","","",""
"","5c4204b9-ca5d-40d4-a711-49510d7f4479","","","","","","DARMo4","Frequency","4 wks - Monthly","Type","Arranged","","","","","","","","","240.00","0.00","No","Unlimited","","","","","","","",""
"","9bda25a0-cfd9-4751-b17d-13565c9a10b7","","","","","","DARBiWk8","Frequency","8 wks -BiWeekly","Type","Arranged","","","","","","","","","480.00","0.00","No","Unlimited","","","","","","","",""
"601f0a613946b524f11f20a7","215d9eaa-d761-4766-87c6-c187eced62f6","SERVICE","shop","floral-club-subscription-bbmldx-a28y8","CLASSIC - Floral Club Subscription  ","<p class="""" style=""white-space:pre-wrap;"">The Classic bouquets will be a fun mix of 20-25 stems of available flowers, filler and foliage.</p><p class="""" style=""white-space:pre-wrap;"">Options include: <br><span style=""text-decoration:underline""><strong>Wrapped Bundle</strong></span> (in craft paper) <strong>$25 </strong>or <br><span style=""text-decoration:underline""><strong>Arranged Bouquet</strong></span> (in a vase) <strong>$35</strong></p><p class="""" style=""white-space:pre-wrap;"">Weekly: <br>Early Season (9 wks) - Jun 14-Aug 9<br>Mid Season (9 wks) - Aug 16-Oct 11<br>Full Season (18 wks) - Jun 14-Oct 11<br>        <strong>* Full season is discounted 10%</strong></p><p class="""" style=""white-space:pre-wrap;"">Bi-Weekly: Every 2 weeks <br>Full Season (8 wks) - Starting Jun 21</p><p class="""" style=""white-space:pre-wrap;"">Monthly:<br>Full Season (4 wks) - Starting Jun 28</p><p class="""" data-rte-preserve-empty=""true"" style=""white-space:pre-wrap;""></p>","CWBWKEarly9","Frequency","W1 - 9 wks Early","Type","Wrapped Bundle","","","","","","","","","225.00","0.00","No","Unlimited","","","","","","","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/601f173206ca9e6cc38c4768/1612650303952/3.png"
"","943c525c-11c2-4198-b4fb-cea0f0df98d6","","","","","","CWBWKMid9","Frequency","W2 - 9 wks Mid","Type","Wrapped Bundle","","","","","","","","","225.00","0.00","No","Unlimited","","","","","","","",""
"","7e3dae8a-bb55-49fd-8815-ab750f9264eb","","","","","","CWBWKFull","Frequency","W3 - 18 wks Full","Type","Wrapped Bundle","","","","","","","","","425.00","0.00","No","Unlimited","","","","","","","",""
"","6aebef9d-a902-4e1c-98fe-0604e313f814","","","","","","CWBBiFull","Frequency","B1 - 8 wks","Type","Wrapped Bundle","","","","","","","","","200.00","0.00","No","Unlimited","","","","","","","",""
"","3ccc62b0-463d-4570-bc78-0f4497868cba","","","","","","CWBMoFull","Frequency","M1 - 4 wks","Type","Wrapped Bundle","","","","","","","","","100.00","0.00","No","Unlimited","","","","","","","",""
