"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"5ec9f8fa6db96c35c65bea4f","447b48b6-7a0d-4d2a-af19-cf1a5a8919cb","PHYSICAL","mrfc","ama-gretl","Amaranth - Green Tails","","AMA-GRETL","","","","","","","10.00","0.00","No","8","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f0891f0bbb7fb12335f43fd/1612981318660/IMG_0797.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f0891efc33ad96b1c76ac3e/1612981318668/IMG_0817.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f0891f4c4fdba5c7bd424bf/1612981318671/IMG_0818.JPEG"
"5ec9f8fb6db96c35c65bea8c","d504deb2-9242-4b2a-9005-431e597fa003","PHYSICAL","mrfc","ama-hotbc","Amaranth - Hot Biscuits","","AMA-HOTBC","","","","","","","15.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/602423ae0ad9e718ea10cb16/1612981168566/hotbiscuits_amaranth.jpg"
"5ec9f8fb6db96c35c65beaa5","41eb6b77-adff-47b2-93b3-c05e4de67206","PHYSICAL","mrfc","amm-chocl","Dara (False Queen Anne's Lace) ","TODO","AMM-CHOCL","","","","","","","8.00","0.00","No","8","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f32059207e6ea452dc97dd0/1597113756651/IMG_2107.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f320587ab674a1da695a8d4/1597113744907/IMG_2108.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f2300b8cf623210c89b75a4/1597113719896/IMG_1731.JPEG"
"5ec9f8fc6db96c35c65beaee","09411ba1-c508-4ebc-a1e2-4447deb35d5d","PHYSICAL","mrfc","amm-grenm","Ammi (False Queen Anne's Lace) - Green Mist","TODO","AMM-GRENM","","","","","","","8.00","0.00","No","12","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f2300def973f30d9bfddc0f/1596129512879/IMG_1819.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f07d994f9ea237b875fa32b/1612977110867/greenmist.jpg https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f07d9a0c121d131615f4dca/1612977109776/01758_02_green_mist.jpg"
"5ec9f8fd6db96c35c65beb0c","6fcf6cd3-ad7e-4ea1-88f8-224aa3189088","PHYSICAL","mrfc","ane-bluwm","Anemone - White","","ANE-WHITE","","","","","","","12.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/602415deddd08574045a6a07/1612977633451/DeCaenWhite_Anemone.jpg"
"5ec9f8ff6db96c35c65bebc1","99da69ff-0f6f-4188-90ed-f2704b3e02cc","PHYSICAL","mrfc","ast-aprsm","Asters - Apricot Swirl Mix","TODO","AST-APRSM","","","","","","","8.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f8ff6db96c35c65bebc3/1590294785891/comming-soon.png"
"5ec9f8ff6db96c35c65bebff","28bc57c2-7fbd-4bf8-8a14-a1dd4399a18f","PHYSICAL","mrfc","ast-chapr","Asters - Chamois Apricot","TODO","AST-CHAPR","","","","","","","8.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f8ff6db96c35c65bec00/1590294786575/comming-soon.png"
"5ec9f9006db96c35c65bec2a","8c18b935-9015-4d3b-aaf9-c79354be9356","PHYSICAL","mrfc","ast-harvi","Asters - Harlekin Violet","TODO","AST-HARVI","","","","","","","8.00","0.00","No","2","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f288954487e9f6a47683467/1596492119497/aster-chinski-pomponowy-fioletowy.jpg"
"5ec9f9006db96c35c65bec41","e684f777-10fc-43e8-9a1d-af253d3106b9","PHYSICAL","mrfc","ast-valpk","Asters - Valkyrie Pink","TODO","AST-VALPK","","","","","","","8.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f9006db96c35c65bec42/1590294787324/comming-soon.png"
"5ec9f9026db96c35c65becec","74524e4a-2254-4aa0-9e2e-d2141fa66c18","PHYSICAL","mrfc","cel-cocrf","Celosia - Coral Reef","","CEL-COCRF","","","","","","","8.00","0.00","No","15","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f320711a5927e51157bcbc1/1597114282543/IMG_2735.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f07dc25ca644a4180553eb9/1597114282543/IMG_1113.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f07dc25ed80fa4741aadd06/1594351353543/IMG_1110.JPEG"
"5ec9f9036db96c35c65bed01","6b76d939-8eab-493a-95e4-393da1cf2c6b","PHYSICAL","mrfc","cel-pampl","Celosia - Pampas Plume","","CEL-PAMPL","","","","","","","8.00","0.00","No","12","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f23020cab416503f65f82ff/1596129813008/IMG_1106.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f2302121df6b02a15a1c9f8/1596129816283/IMG_1105.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f23021f8fb7ee119dd93a70/1596129832343/IMG_1419.JPEG"
"5ec9f9036db96c35c65bed18","88bfd21a-4067-45fb-8704-460b1ad31c31","PHYSICAL","mrfc","cel-texss","Celosia - Texas Plume SumShr","","CEL-TEXSS","","","","","","","8.00","0.00","No","12","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f230246632ec75014e93a86/1596129869744/IMG_1108.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f2302595fe17a3fd31bc274/1596129895945/IMG_1427.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f2302605fe17a3fd31bc316/1596129897028/IMG_1426.JPEG"
"5ec9f9036db96c35c65bed1f","7bb4b847-1d2c-4d7c-a350-af45e537a914","PHYSICAL","mrfc","cos-april","Cosmos - Apricot Lemonade","TODO","COS-APRIL","","","","","","","8.00","0.00","No","2","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f9036db96c35c65bed20/1590294790116/comming-soon.png https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f3204424096ca24e415a898/1597113417136/IMG_2976.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f320457ab1a6866e4ac8c4e/1597113433699/aprlem.jpg"
"5ec9f9046db96c35c65bed34","cea7bc51-6abc-49b7-9d05-d32baecc0dad","PHYSICAL","mrfc","cos-cupbl","Cosmos - Cupcake Blush","","COS-CUPBL","","","","","","","8.00","0.00","No","3","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f31fd7ea5927e51157a70e8/1597111686052/IMG_2128.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f31fd8480f3aa45df7235f5/1597111692914/IMG_2138.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f31fd8aac15fc27e027a937/1597111697982/IMG_2139.JPEG"
"5ec9f9046db96c35c65bed5f","742f5583-5aaf-4ba9-9cbb-b058b11a7267","PHYSICAL","mrfc","cos-cupcw","Cosmos - Cupcake White","TODO","COS-CUPCW","","","","","","","8.00","0.00","No","3","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f31fd2eec1a8c6d00dbdd4b/1597111605020/IMG_2143.JPEG"
"5ec9f9056db96c35c65bed74","d860e9bc-0ad7-486a-9c24-8e2d143d0310","PHYSICAL","mrfc","cos-dblcc","Cosmos - Dbl Click Cberries","TODO","COS-DBLCC","","","","","","","8.00","0.00","No","1","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f32aecd0170af0ea3555e7e/1597157078762/IMG_2743.jpeg"
"5ec9f9056db96c35c65bed8f","cbdf8cb4-a0a4-4daa-9a79-00a4dbd479c7","PHYSICAL","mrfc","cos-dblcm","Cosmos - Double Click Mix","","COS-DBLCM","","","","","","","8.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/60241b07ddd08574045b17c9/1612979027155/double+click+mix+2021+js.jpg"
"5ec9f9066db96c35c65beda9","d03fdd72-5cbe-4341-8b6a-4a0bafbb936c","PHYSICAL","mrfc","cos-dblcr","Cosmos - Dbl Click Bi Rose","TODO","COS-DBLCR","","","","","","","8.00","0.00","No","3","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f32034d11f8b537841775c7/1597113235798/IMG_2743.jpeg"
"5ec9f9066db96c35c65bedac","38a93b5c-f6d8-44d2-abf6-f1778de4123a","PHYSICAL","mrfc","cos-dblcs","Cosmos - Dbl Click Snow Puff","","COS-DBLCS","","","","","","","8.00","0.00","No","3","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f31fabcbec49413e0a4342c/1612978431719/dblclickwhite.jpg"
"5ec9f9066db96c35c65bedc0","f93cba94-3b91-463a-b4e4-36b6ca415d50","PHYSICAL","mrfc","cos-rudbn","Cosmos - Rubenza","","COS-RUDBN","","","","","","","8.00","0.00","No","8","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f22fe4e5415b9728ee930dd/1596128853159/IMG_1430.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f22ff251df6b02a15a1435b/1597462139381/IMG_1923.jpeg https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f22ff2dcf623210c89b34d0/1596129075586/IMG_1547.jpeg https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f22ff325b6e622643bfecf7/1596129083512/IMG_1620.jpeg"
"5ec9f9076db96c35c65bedf0","24891d75-52ac-4d6e-a8b6-7e260cef9f78","PHYSICAL","mrfc","cos-seasm","Cosmos - Seashells Mix","TODO","COS-SEASM","","","","","","","8.00","0.00","No","5","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f32019ba74f5b519cb0f7be/1597112737819/IMG_2155.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5f3201b0a5927e51157b0e50/1597462166195/cosmos-seashell-49d0907d645358fc69bb2d9b6ae67fde.jpg"
"5ec9f9096db96c35c65bee4b","f3c199cf-c28a-4783-8f9a-b9c6ae7e9ac1","PHYSICAL","mrfc","dah-blasa","Dahlias - Black Satin","TODO","DAH-BLASA","","","","","","","16.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f9096db96c35c65bee4c/1590294795596/comming-soon.png"
"5ec9f9096db96c35c65bee76","c5690bea-f479-47cf-90a0-f47108984f73","PHYSICAL","mrfc","dah-boowh","Dahlias - BoomBoom White","TODO","DAH-BOOWH","","","","","","","20.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f9096db96c35c65bee77/1590294797011/comming-soon.png"
