"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"60db76eedee9624d8ec4cea6","98773ae1-c52b-44a2-93f9-660e4edaf0d2","SERVICE","shop","479e7o1mow08b6148w7e5s13onn03f","","","SQ9026309","","","","","","","","","","","","","0.00","0.00","No","1","","","","","","","No",""
"60adacb27a384613d66db94e","b1039fd1-2501-440c-a7cb-d230d77970d7","PHYSICAL","mrfc","age-bluhz","Ageratum - Blue Horizon","<p>Ageratum - Blue Horizon | AGE-BLUHZ<br>Tall, upright, sturdy stems. Very similar to Tall Blue Planet. This classic filler adds texture and interest to bouquets and also attracts bees and butterflies to the garden. The tight blue flower clusters are 1 1/2-3 across and are long-lasting for bouquets. Ageratum is also known as flossflower or blue mink<br><hr><b>Forecast:</b> <br>This week: 10 <br>Next week: 10 <br>Future: 10<br><i>10 stems per bunch</i><hr><br></p>","AGE-BLUHZ","","","","","","","","","","","","","7.00","0.00","No","10","/flower/ageratum/blue-horizon","mrfc","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1622653353461-XSK69GS3EVTFDGVMUW6G/AgeratumBlueHorizon.JPG"
"60adacb18387594261ec4379","ca529905-881b-4e7b-96fc-2b58beb835e9","PHYSICAL","mrfc","ama-casmx","Amaranth - Cascade Mix","<p>Amaranth - Cascade Mix | AMA-CASMX<br>Mix of Love-Lies-Bleeding and Green Tails for a stunning color combination.<br><hr><b>Forecast:</b> <br>This week: 0 <br>Next week: 0 <br>Future: 0<br><i>10 stems per bunch</i><hr><br></p>","AMA-CASMX","","","","","","","","","","","","","12.50","0.00","No","0","/filler/amaranth/cascade-mix","mrfc","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1622511451094-LA5XLN6ZIG844CZUQSQ9/ama+cascade_mix.jpg"
"6029e7c47f543c1fbd08ce77","29211b16-b2b9-49e6-ba42-2c497d161380","PHYSICAL","mrfc","ama-corfn","Amaranth - Coral Fountain","<p>Amaranth - Coral Fountain | AMA-CORFN<br>Unique coral-pink tassels.  Coral Fountain is a great complement to Emerald Tassels and Love-Lies-Bleeding. All have a great presence in arrangements. Common names include amaranth and tassel flower.<br><hr><b>Forecast:</b> <br>This week: 4 <br>Next week: 4 <br>Future: 6<br><i>10 stems per bunch</i><hr><br></p>","AMA-CORFN","","","","","","","","","","","","","12.50","0.00","No","4","/filler/amaranth/coral-fountain","mrfc","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1616892760183-ND92NKKXLZCFUHLB0YOL/coralfountains_amaranth.jpg"
"6029e7c77f543c1fbd08cec9","dde8c320-3d05-49c2-ab51-c96fcc2ded59","PHYSICAL","mrfc","ama-emeta","Amaranth - Emerald Tassels","<p>Amaranth - Emerald Tassels | AMA-EMETA<br>SAME AS GREEN TAILS -- DUP -- DELETE THIS ONE EVERYWHERE<br><hr><b>Forecast:</b> <br>This week: 2 <br>Next week: 4 <br>Future: 2<br><i>10 stems per bunch</i><hr><br></p>","AMA-EMETA","","","","","","","","","","","","","12.50","0.00","No","2","","mrfc","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1616892510001-384VA2BIR6GP1AQ8X9UU/emerald_tassels_amaranth.jpg"
"5ec9f8fa6db96c35c65bea4f","447b48b6-7a0d-4d2a-af19-cf1a5a8919cb","PHYSICAL","mrfc","ama-gretl","Amaranth - Green Tails","<p>Amaranth - Green Tails | AMA-GRETL<br>This extra special amaranth provides a striking backdrop to a garden bed or a dramatic addition to large-scale arrangements. Its long, chartreuse green tassels add texture and combine beautifully with both bright and pastel color palettes. <br><hr><b>Forecast:</b> <br>This week: 2 <br>Next week: 4 <br>Future: 2<br><i>10 stems per bunch</i><hr><br></p>","AMA-GRETL","","","","","","","","","","","","","12.50","0.00","No","2","/filler/amaranth","mrfc","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1594397178811-3RVTOMGKPIKB7AKLV172/IMG_0797.JPEG https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1594397172191-Z5HO9IQBS03UPAO1OOEA/IMG_0817.JPEG https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1594397179011-0JX01SW5OCR88M3GDDXE/IMG_0818.JPEG"
"60242446de7f3d59484e668e","1f7a203f-a9c5-47e4-b1d3-c4e2616d9722","PHYSICAL","mrfc","ama-gretl-3xggn","Amaranth - Love-Lies-Bleeding","<p>Amaranth - Love-Lies-Bleeding | AMA-LOVLB<br>Ropes of deep red, trailing blooms. A reminder of things Victorian and a graceful accent in arrangements. Common names include amaranth and tassel flower.<br><hr><b>Forecast:</b> <br>This week: 4 <br>Next week: 4 <br>Future: 6<br><i>10 stems per bunch</i><hr><br></p>","AMA-LOVLB","","","","","","","","","","","","","12.50","0.00","No","4","/filler/amaranth/love-lies-bleeding","mrfc","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1612981355631-C1QLKK5Y8J9E576T11VX/love_lies_bleeding_amaranth.jpg"
"5ec9f8fb6db96c35c65bea8c","d504deb2-9242-4b2a-9005-431e597fa003","PHYSICAL","mrfc","ama-hotbc","Amaranth - Hot Biscuits","<p>Amaranth - Hot Biscuits | AMA-HOTBC<br>Bronze to chestnut-colored plumes are ideal for autumn bouquets and bunches<br><hr><b>Forecast:</b> <br>This week: 3 <br>Next week: 4 <br>Future: 5<br><i>10 stems per bunch</i><hr><br></p>","AMA-HOTBC","","","","","","","","","","","","","12.50","0.00","No","3","/filler/amaranth/hot-biscuits","mrfc","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1612981166574-CGRF4QODIO0LYQT4API5/hotbiscuits_amaranth.jpg"
"6029e7cf7f543c1fbd08cf79","6992d89e-8718-4423-861e-0075599e8768","PHYSICAL","mrfc","ama-opope","Amaranth - Opopeo","<p>Amaranth - Opopeo | AMA-OPOPE<br>A traditional variety from Mexico, this amaranth has a lot to offer. Gorgeous cascading tassels of garnet red look fantastic with tall cosmos and branching sunflowers at the back of the border<br><hr><b>Forecast:</b> <br>This week: 8 <br>Next week: 8 <br>Future: 5<br><i>10 stems per bunch</i><hr><br></p>","AMA-OPOPE","","","","","","","","","","","","","12.50","0.00","No","8","/filler/amaranth/opopeo","mrfc","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1616891859551-F7LGRO7OH59KSACX4WAL/opopeo_amaranth.jpg"
"6029e7d67f543c1fbd08d036","75ac7ae7-4139-4ae4-8408-8aee6868bf87","PHYSICAL","mrfc","ama-redsp","Amaranth - Red Spike","<p>Amaranth - Red Spike | AMA-REDSP<br>Darkest red amaranth. Ideal color and form for late summer and fall arrangements. More useful than other upright types because of its gracefully arched, feathery plumes. Compared to Opopeo, Red Spike's flower heads are darker red, more arched, and airier. <br><hr><b>Forecast:</b> <br>This week: 10 <br>Next week: 10 <br>Future: 8<br><i>10 stems per bunch</i><hr><br></p>","AMA-REDSP","","","","","","","","","","","","","12.50","0.00","No","10","/filler/amaranth/red-spike","mrfc","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1616891088441-JRNTTXONRNWDZ8QNZ25J/redspike_amaranth.jpg"
"5ec9f8fb6db96c35c65beaa5","41eb6b77-adff-47b2-93b3-c05e4de67206","PHYSICAL","mrfc","amm-chocl","Ammi (False Queen Anne's Lace) - Chocolate Lace","<p>Ammi (False Queen Anne's Lace) - Chocolate Lace | AMM-CHOCL<br><br><hr><b>Forecast:</b> <br>This week: 0 <br>Next week: 0 <br>Future: 0<br><i>10 stems per bunch</i><hr><br></p>","AMM-CHOCL","","","","","","","","","","","","","8.00","0.00","No","8","/filler/ammi","mrfc","0.0","0.0","0.0","0.0","No","https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1597113753227-1936JWHXUWY3LCBO2SVH/IMG_2107.JPEG https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1597113741556-AZ3QDS78SUW3AAJP1IJ8/IMG_2108.JPEG https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1596129470031-XZ68ZGDX21K79T764DLR/IMG_1731.JPEG"
"6029e7c47f543c1fbd08ce7a","ea33b1b9-9a40-48a3-97f8-8acbdea47678","PHYSICAL","mrfc","amm-daras","Ammi (False Queen Anne's Lace) - Dara","<p>Ammi (False Queen Anne's Lace) - Dara | AMM-DARAS<br>Outstanding cut flower that's actually a carrot.  Attractive 3–5 lacy umbels atop strong, sturdy, upright stems. Flowers in shades of dark purple, pink, or white. Long-lasting in bouquets. Also known as Queen Anne's lace, ornamental carrot, and wild carrot.<br><hr><b>Forecast:</b> <br>This week: 0 <br>Next week: 2 <br>Future: 0<br><i>10 stems per bunch</i><hr><br></p>","AMM-DARAS","","","","","","","","","","","","","8.00","0.00","No","0","/filler/ammi","mrfc","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5e5f1040454b0c706b3eafe0/1616892697719-XQBNJZ9CD38UJUEJTFNW/dara_daucus.jpg"
