"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"5ec9f8fa6db96c35c65bea4f","447b48b6-7a0d-4d2a-af19-cf1a5a8919cb","PHYSICAL","shop","ama-gretl","Amaranth - Green Tails","<p>Amaranth - Green Tails  | AMA-GRETL <br><hr><b>Forecast:</b><br>This week: 2 Bunches / Next week: 2 Bunches / Future: 2 Bunches<br> 10 stems per bunch<br></p>","AMA-GRETL","","","","","","","10.00","0.00","No","8","","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5f0891f0bbb7fb12335f43fd/1594397182049/IMG_0797.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5f0891efc33ad96b1c76ac3e/1594397175640/IMG_0817.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5f0891f4c4fdba5c7bd424bf/1594397181453/IMG_0818.JPEG"
"5ec9f8fb6db96c35c65bea8c","d504deb2-9242-4b2a-9005-431e597fa003","PHYSICAL","shop","ama-hotbc","Amaranth - Hot Biscuits","<p>Amaranth - Hot Biscuits  | AMA-HOTBC <br><hr><b>Forecast:</b><br>This week: null / Next week: null / Future: null<br> 10 stems per bunch<br></p>","AMA-HOTBC","","","","","","","15.00","0.00","No","0","","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9fb888e07a301b0070da4/1590295435032/comming-soon.png"
"5ec9f8fb6db96c35c65beaa5","41eb6b77-adff-47b2-93b3-c05e4de67206","PHYSICAL","shop","amm-chocl","Ammi (False Queen Anne's Lace) - Chocolate Lace","<p>Ammi (False Queen Anne's Lace) - Chocolate Lace  | AMM-CHOCL <br><hr><b>Forecast:</b><br>This week: 5 Bunches / Next week: 5 Bunches / Future: 5 Bunches<br> 10 stems per bunch<br></p>","AMM-CHOCL","","","","","","","8.00","0.00","No","8","Ammi","","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5f07db135f05a81dcf2b828c/1596129372436/IMG_1130.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5f07dbc57e80874ee3924240/1596129456534/IMG_1129.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5f2300b8cf623210c89b75a4/1596129473753/IMG_1731.JPEG"
"5ec9f8fc6db96c35c65beaee","09411ba1-c508-4ebc-a1e2-4447deb35d5d","PHYSICAL","shop","amm-grenm","Ammi (False Queen Anne's Lace) - Green Mist","<p>Ammi (False Queen Anne's Lace) - Green Mist  | AMM-GRENM <br><hr><b>Forecast:</b><br>This week: 5 Bunches / Next week: 5 Bunches / Future: 5 Bunches<br> 10 stems per bunch<br></p>","AMM-GRENM","","","","","","","8.00","0.00","No","12","Ammi","","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5f2300def973f30d9bfddc0f/1596129512879/IMG_1819.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5f07d994f9ea237b875fa32b/1596129950469/greenmist.jpg https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5f07d9a0c121d131615f4dca/1596129950475/01758_02_green_mist.jpg"
"5ec9f8fd6db96c35c65beb0c","6fcf6cd3-ad7e-4ea1-88f8-224aa3189088","PHYSICAL","shop","ane-bluwm","Anemone - Blue White Mix","<p>Anemone - Blue White Mix  | ANE-BLUWM <br><hr><b>Forecast:</b><br>This week: null / Next week: null / Future: null<br> 10 stems per bunch<br></p>","ANE-BLUWM","","","","","","","12.00","0.00","No","0","Anemone","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f8fd6db96c35c65beb0d/1590294785984/comming-soon.png"
"5ec9f8ff6db96c35c65bebc1","99da69ff-0f6f-4188-90ed-f2704b3e02cc","PHYSICAL","shop","ast-aprsm","Asters - Apricot Swirl Mix","<p>Asters - Apricot Swirl Mix  | AST-APRSM <br><hr><b>Forecast:</b><br>This week: null / Next week: 2 Bunches / Future: 3 Bunches<br> 10 stems per bunch<br></p>","AST-APRSM","","","","","","","8.00","0.00","No","0","Aster","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f8ff6db96c35c65bebc3/1590294785891/comming-soon.png"
"5ec9f8ff6db96c35c65bebff","28bc57c2-7fbd-4bf8-8a14-a1dd4399a18f","PHYSICAL","shop","ast-chapr","Asters - Chamois Apricot","<p>Asters - Chamois Apricot  | AST-CHAPR <br><hr><b>Forecast:</b><br>This week: null / Next week: 2 Bunches / Future: 3 Bunches<br> 10 stems per bunch<br></p>","AST-CHAPR","","","","","","","8.00","0.00","No","0","Aster","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f8ff6db96c35c65bec00/1590294786575/comming-soon.png"
"5ec9f9006db96c35c65bec2a","8c18b935-9015-4d3b-aaf9-c79354be9356","PHYSICAL","shop","ast-harvi","Asters - Harlekin Violet","<p>Asters - Harlekin Violet  | AST-HARVI <br><hr><b>Forecast:</b><br>This week: null / Next week: null / Future: null<br> 10 stems per bunch<br></p>","AST-HARVI","","","","","","","8.00","0.00","No","2","Aster","","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5f288954487e9f6a47683467/1596492119497/aster-chinski-pomponowy-fioletowy.jpg"
"5ec9f9006db96c35c65bec41","e684f777-10fc-43e8-9a1d-af253d3106b9","PHYSICAL","shop","ast-valpk","Asters - Valkyrie Pink","<p>Asters - Valkyrie Pink  | AST-VALPK <br><hr><b>Forecast:</b><br>This week: -- / Next week: 2 Bunches / Future: 3 Bunches<br> 10 stems per bunch<br></p>","AST-VALPK","","","","","","","8.00","0.00","No","0","Aster","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f9006db96c35c65bec42/1590294787324/comming-soon.png"
"5ec9f9026db96c35c65becec","74524e4a-2254-4aa0-9e2e-d2141fa66c18","PHYSICAL","shop","cel-cocrf","Celosia - Coral Reef","<p>Celosia - Coral Reef  | CEL-COCRF <br><hr><b>Forecast:</b><br>This week: 8 Bunches / Next week: 8 Bunches / Future: 8 Bunches<br> 10 stems per bunch<br></p>","CEL-COCRF","","","","","","","8.00","0.00","No","15","Celosia","","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5f07dc25ed80fa4741aadd06/1594351353543/IMG_1110.JPEG https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5f07dc25ca644a4180553eb9/1594351353557/IMG_1113.JPEG"
