"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"5e5f171afb61a745960a1331","ff6a371a-eb13-40a4-874e-07a1a0d1297e","PHYSICAL","shop","ama001","Amaranth ""Hot Biscuits"" (Amaranthus cruentus)","<p class="""" style=""white-space:pre-wrap;"">Gorgeous color  |</p>","ama001","","","","","","","8.00","0.50","No","0","","flower","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5eee8ea3e567c00ae65ccd6e/1592912590283/01676_02_hotbiscuits.jpg"
"5ec9f8fa6db96c35c65bea4f","447b48b6-7a0d-4d2a-af19-cf1a5a8919cb","PHYSICAL","shop","ama-gretl","Amaranthus - Green Tails","<p>Amaranthus - Green Tails </p>","AMA-GRETL","","","","","","","15.00","0.00","No","0","","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9fb41e8296a24e1378356/1590295364041/comming-soon.png"
"5ec9f8fb6db96c35c65bea8c","d504deb2-9242-4b2a-9005-431e597fa003","PHYSICAL","shop","ama-hotbc","Amaranthus - Hot Biscuits","<p>Amaranthus - Hot Biscuits </p>","AMA-HOTBC","","","","","","","15.00","0.00","No","0","","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9fb888e07a301b0070da4/1590295435032/comming-soon.png"
"5ec9f8fb6db96c35c65beaa5","41eb6b77-adff-47b2-93b3-c05e4de67206","PHYSICAL","shop","amm-chocl","Ammi (False Queen Anne's Lace) - Chocolate Lace","<p>Ammi (False Queen Anne's Lace) - Chocolate Lace </p>","AMM-CHOCL","","","","","","","8.00","0.00","No","0","Ammi","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f8fb6db96c35c65beaa6/1590294782860/comming-soon.png"
"5ec9f8fc6db96c35c65beaee","09411ba1-c508-4ebc-a1e2-4447deb35d5d","PHYSICAL","shop","amm-grenm","Ammi (False Queen Anne's Lace) - Green Mist","<p>Ammi (False Queen Anne's Lace) - Green Mist </p>","AMM-GRENM","","","","","","","8.00","0.00","No","0","Ammi","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f8fc6db96c35c65beaef/1590294783521/comming-soon.png"
"5ec9f8fd6db96c35c65beb0c","6fcf6cd3-ad7e-4ea1-88f8-224aa3189088","PHYSICAL","shop","ane-bluwm","Anemone - Blue White Mix","<p>Anemone - Blue White Mix </p>","ANE-BLUWM","","","","","","","12.00","0.00","No","0","Anemone","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f8fd6db96c35c65beb0d/1590294785984/comming-soon.png"
"5ec9f8fd6db96c35c65beb22","4e00bb71-1825-411e-bba9-4a6bd77ec3d3","PHYSICAL","shop","ane-lorlt","Anemone - Lord Lieutenant","<p>Anemone - Lord Lieutenant </p>","ANE-LORLT","","","","","","","12.00","0.00","No","0","Anemone","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f8fd6db96c35c65beb23/1590294784398/comming-soon.png"
"5ec9f8fd6db96c35c65beb5a","77c14aad-2924-4aa0-b49b-bcb20e680268","PHYSICAL","shop","ane-mixsb","Anemone - Mix Super Bag","<p>Anemone - Mix Super Bag </p>","ANE-MIXSB","","","","","","","12.00","0.00","No","0","Anemone","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f8fe6db96c35c65beb5b/1590294784323/comming-soon.png"
"5ec9f8fe6db96c35c65beb70","4237f3db-8789-43df-a0ba-84757040cadf","PHYSICAL","shop","ane-saibr","Anemone - Saint Brigid","<p>Anemone - Saint Brigid </p>","ANE-SAIBR","","","","","","","0.00","0.00","No","0","Anemone","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f8fe6db96c35c65beb71/1590294784790/comming-soon.png"
"5ec9f8fe6db96c35c65beb87","f5310fb7-a3e6-4e48-acfa-8ecf5d689b4c","PHYSICAL","shop","ane-white","Anemone - White","<p>Anemone - White </p>","ANE-WHITE","","","","","","","12.00","0.00","No","0","Anemone","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f8fe6db96c35c65beb88/1590294785238/comming-soon.png"
