Date,Category,Input,Crop,Location,Labor Cost,Input Cost,Total Cost,Description/Manufacturer,OMRI,Application Rate Amount,Application Rate Amount Units,Application Rate Amount Area,Total Cost For Amount,Total Cost For Amount Unit,Seeds Variety,Seeds Organic Treatment,Seeds Seed Company
05/01/2020,Soil/Compost,Germination Soil,,,,$145.00,$145.00,Gard Haven - 5 bags ProMix,,,,,$145.00,,,,
04/25/2020,Supplies,"Misc. - office, books, markers",,,,$100.00,$100.00,"RuralKing sprayers, hoses, connectores",,,,,$100.00,,,,
04/19/2020,Supplies,Field Supplies,,,,$99.98,$99.98,"Lowes- CAT Tunnel Supplies 2 rolls plastic- 12'x50', U-Bolts, clamps, screws",,,,,$99.98,,,,
04/16/2020,Soil/Compost,Germination Soil,,,,$105.78,$105.78,"GardHaven 3 bags ProMix BX + 27 - 3"" square pots",,,,,$105.78,,,,
04/16/2020,Supplies,Field Supplies,,,,$135.27,$135.27,"WalMart- potting soil, deer fence, hose, sharpies, office supplies",,,,,$135.27,,,,
04/13/2020,Supplies,"Misc. - office, books, markers",,,,$112.09,$112.09,"GH Megastore - 4"" pots and trays",,,,,$112.09,,,,
04/11/2020,Equipment,Field Equipment,,,,$200.00,$200.00,JS Earthway Seeder,,,,,$200.00,,,,
04/11/2020,Supplies,Greenhouse building stuff,,,,$94.99,$94.99,new fan  Lowes,,,,,$94.99,,,,
04/11/2020,Supplies,Greenhouse building stuff,,,,$134.46,$134.46,"ACE - propane, chainsaw supplies",,,,,$134.46,,,,
04/11/2020,Supplies,Field Supplies,,,,$243.33,$243.33,JS-GH Plastic for Cat.tunnels 10x100 ft- qty:3,,,,,$243.33,,,,
03/30/2020,Seed Starting,"Try Cells, Flats and Dome",,,,$207.00,$207.00,"Order#: 111-3458763-2152229
10 Pack Seed Starter Kit,SiBo 72 Cell Gardening Germination Tray
Order#: 111-8383738-0444258
Seed Starter Kit 128 Cell Extra Strength, 10 Pack - 1020 Tray, Humidity D",,,,,$207.00,,,,
03/26/2020,Supplies,Field Supplies,,,,$105.00,$105.00,"rural king - bird feeders, propane, pitchfork, trash bags",,,,,$105.00,,,,
