Due Date,Date Completed,Task Name,Task Type,Assignees,Plantings Assigned,Location Assigned,Method,Sub-method,Input,Description,Manufacturer,OMRI,Application Rate Amount,Application Rate Amount Unit,Application Rate Area,Total Cost,Total Cost Amount,Total Cost Unit,Comments,Name Of Pest Identified,Number Of Minutes,Lines Of Drip,360 Pipe #Lines,360 Pipe Minutes,360 Pipe Heads Per Line,180 Pipe #Lines,180 Pipe Minutes,180 Pipe Heads Per Line,Total Inches,Total Gallons,Completed,Total Labor Hours
04/14/2020,04/15/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Zinnias Giant Salmon Rose | ZIN-GIASR 04/14/2020 ,"White House,Situation,Block FLR,Beds 1",,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
04/14/2020,04/14/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Dahlias Giant Hybrid Mix | DAH-GIAMX 04/14/2020 ,"White House,Situation,Block FLR,Beds 1",,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
05/20/2020,05/25/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Zinnias Queen Lime Blush | ZIN-QUELB 05/20/2020 ,"White House,Situation,Block FLR,Beds 1",,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
06/06/2020,06/15/2020,Transplant,Transplant,Tony Gilkerson,Cosmos Dbl Click Cberries | COS-DBLCC 05/20/2020 ,"White House,Situation,Block FLR,Beds 1",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
04/21/2020,06/02/2020,Direct Sow,Direct Sow,Tony Gilkerson,Anemone Blue White Mix | ANE-BLUWM 04/21/2020 ,"The Back Field,MCB,Block FLR,Beds 2",,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
04/21/2020,06/02/2020,Direct Sow,Direct Sow,Tony Gilkerson,Anemone Lord Lieutenant | ANE-LORLT 04/21/2020 ,"The Back Field,MCB,Block FLR,Beds 2",,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
04/21/2020,06/02/2020,Direct Sow,Direct Sow,Tony Gilkerson,Anemone White | ANE-WHITE 04/21/2020 ,"The Back Field,MCB,Block FLR,Beds 2",,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
04/30/2020,04/30/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Ornamental Grasses Bunny Tails | ORN-BUNTL 04/30/2020 ,"White House,Situation,Block GRN,Beds 2",,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
07/08/2020,,Direct Sow,Direct Sow,Tony Gilkerson,Mignonette Standard | MIG-STAND 07/08/2020 ,"White House,Situation,Block GRN,Beds 2",,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,No,
04/30/2020,04/30/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Ornamental Grasses Frosted Explosion | ORN-FROEX 04/30/2020 ,"White House,Situation",,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
05/27/2020,06/02/2020,Transplant,Transplant,Tony Gilkerson,Cosmos Seashells Mix | COS-SEASM 05/14/2020 ,"White House,Situation",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
06/27/2020,06/28/2020,Direct Sow,Direct Sow,Tony Gilkerson,Pumpkins Racer | PUM-RACER 06/27/2020 ,"The Back Field,Racer Patch,No Block,Beds 1",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
06/27/2020,06/28/2020,Direct Sow,Direct Sow,Tony Gilkerson,Pumpkins Howden | PUM-HOWDN 06/27/2020 ,"The Back Field,Howden Patch,No Block,Beds 1",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
06/27/2020,06/28/2020,Direct Sow,Direct Sow,Tony Gilkerson,Pumpkins Casper | PUM-CASPR 06/27/2020 ,"The Back Field,Casper Patch,No Block,Beds 1",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
06/27/2020,06/28/2020,Direct Sow,Direct Sow,Tony Gilkerson,Gourds Ornamental Mix | GOU-ORNMX 06/27/2020 ,"The Back Field,Gourd Patch,No Block,Beds 1",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
05/03/2020,06/02/2020,Transplant,Transplant,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Macau | RUD-MACAU 02/15/2020 ,"The Back Field,Breakfast Club,Block FLR,Beds 1",,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/02/2020,02/04/2020,"Buildings, Maintenance",Maintenance,Tony Gilkerson,   ,,Buildings,,,side boards on greenhouse,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,4.00
02/08/2020,02/09/2020,Put snow plow on tractor,Maintenance,Tony Gilkerson,   ,,Tractors,,,It is snowing and we need to clear driveway for guests,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,1.00
02/08/2020,02/09/2020,Work on building Temporary Greenhouse,Maintenance,Tony Gilkerson,   ,,Buildings,,,"This weekend I hope to at least do the following:

* attach the wiggle channel to GH frame
* frame up the ends

The plastic cover will have to wait for later, it is snowing and the conditions are bad",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,2.00
02/09/2020,02/11/2020,Work on building Temporary Greenhouse,Maintenance,Tony Gilkerson,   ,,Buildings,,,"This weekend I hope to at least do the following:

* attach the wiggle channel to GH frame
* frame up the ends

The plastic cover will have to wait for later, it is snowing and the conditions are bad",,,0,,,,,,This is a continuation from yesterday,,,,,,,,,,0.0,0.0,Yes,3.00
02/10/2020,02/11/2020,Germination Station,Maintenance,Tony Gilkerson,   ,,Buildings,,,"Tonight, I wired up the germination station with heating mats and their thermostats. Also put hoops on the top so that soon I will enclose it in a poly wrap to hold in heat.",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,4.00
02/11/2020,02/11/2020,Germination Station,Maintenance,Tony Gilkerson,   ,,Buildings,,,Cover germination station with plastic and setup heater,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,2.00
02/12/2020,02/15/2020,SS: Gather Supplies,Greenhouse Activity,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Cherry Brandy | RUD-CHEBR 02/15/2020 ,,Organizing,,,"Gather the supplies need for starting seeds in flats:

* seeds
* Seed trays
* bottom flats
* seed starting mix
* fine vermiculite
* plant tags
* clear dome lids
* Nature's Intent fertilizer",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/12/2020,02/18/2020,SS: Gather Supplies,Greenhouse Activity,Tony Gilkerson,Eucalyptus Silver Dollar | EUC-SILDL 02/17/2020 ,,Organizing,,,"Gather the supplies need for starting seeds in flats:

* seeds
* Seed trays
* bottom flats
* seed starting mix
* fine vermiculite
* plant tags
* clear dome lids
* Nature's Intent fertilizer",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/12/2020,02/15/2020,SS: Gather Supplies,Greenhouse Activity,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Chim Chiminee Mix | RUD-CHIMX 02/15/2020 ,,Organizing,,,"Gather the supplies need for starting seeds in flats:

* seeds
* Seed trays
* bottom flats
* seed starting mix
* fine vermiculite
* plant tags
* clear dome lids
* Nature's Intent fertilizer",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/12/2020,02/15/2020,SS: Gather Supplies,Greenhouse Activity,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Denver Daisy | RUD-DENDA 02/15/2020 ,,Organizing,,,"Gather the supplies need for starting seeds in flats:

* seeds
* Seed trays
* bottom flats
* seed starting mix
* fine vermiculite
* plant tags
* clear dome lids
* Nature's Intent fertilizer",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/12/2020,02/15/2020,SS: Gather Supplies,Greenhouse Activity,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Praire Sun | RUD-PRASN 02/15/2020 ,,Organizing,,,"Gather the supplies need for starting seeds in flats:

* seeds
* Seed trays
* bottom flats
* seed starting mix
* fine vermiculite
* plant tags
* clear dome lids
* Nature's Intent fertilizer",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/12/2020,02/15/2020,SS: Gather Supplies,Greenhouse Activity,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Sahara | RUD-SAHAR 02/15/2020 ,,Organizing,,,"Gather the supplies need for starting seeds in flats:

* seeds
* Seed trays
* bottom flats
* seed starting mix
* fine vermiculite
* plant tags
* clear dome lids
* Nature's Intent fertilizer",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/14/2020,02/15/2020,SS: Review Seed Stating Record,Greenhouse Activity,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Cherry Brandy | RUD-CHEBR 02/15/2020 ,,Seed Starting,,,"Search Records for ""tag: seed-starting"" and follow instructions",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/14/2020,02/16/2020,SS: Review Seed Stating Record,Greenhouse Activity,Tony Gilkerson,Talinum (fame flower) Jewels of Opar | TAL-JEWOO 02/17/2020 ,,Seed Starting,,,"Search Records for ""tag: seed-starting"" and follow instructions",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/14/2020,02/18/2020,SS: Review Seed Starting Record,Greenhouse Activity,Tony Gilkerson,Eucalyptus Silver Dollar | EUC-SILDL 02/17/2020 ,,Seed Starting,,,"Search Records for ""tag: seed-starting"" and follow instructions",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/14/2020,02/15/2020,SS: Review Seed Stating Record,Greenhouse Activity,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Chim Chiminee Mix | RUD-CHIMX 02/15/2020 ,,Seed Starting,,,"Search Records for ""tag: seed-starting"" and follow instructions",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/14/2020,02/15/2020,SS: Review Seed Stating Record,Greenhouse Activity,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Denver Daisy | RUD-DENDA 02/15/2020 ,,Seed Starting,,,"Search Records for ""tag: seed-starting"" and follow instructions",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/14/2020,02/15/2020,SS: Review Seed Stating Record,Greenhouse Activity,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Praire Sun | RUD-PRASN 02/15/2020 ,,Seed Starting,,,"Search Records for ""tag: seed-starting"" and follow instructions",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/14/2020,02/15/2020,SS: Review Seed Stating Record,Greenhouse Activity,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Sahara | RUD-SAHAR 02/15/2020 ,,Seed Starting,,,"Search Records for ""tag: seed-starting"" and follow instructions",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/15/2020,03/27/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Cherry Brandy | RUD-CHEBR 02/15/2020 ,,,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,1.50
02/15/2020,03/27/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Chim Chiminee Mix | RUD-CHIMX 02/15/2020 ,,,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,1.50
02/15/2020,03/27/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Denver Daisy | RUD-DENDA 02/15/2020 ,,,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,1.50
02/15/2020,03/27/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Praire Sun | RUD-PRASN 02/15/2020 ,,,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,1.50
02/15/2020,03/27/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Sahara | RUD-SAHAR 02/15/2020 ,,,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,1.50
02/15/2020,04/15/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Macau | RUD-MACAU 02/15/2020 ,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/16/2020,02/16/2020,Cover Greenhouse (top),Maintenance,Tony Gilkerson,   ,,Buildings,,GH parts,Cover top of greenhouse with plastic and frame in ends,,,0,,,$58.37,,,,,,,,,,,,,0.0,0.0,Yes,3.50
02/17/2020,02/17/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Talinum (fame flower) Jewels of Opar | TAL-JEWOO 02/17/2020 ,,,,,,,,0,,,,,,JOO 1/3 comment,,,,,,,,,,0.0,0.0,Yes,1.50
02/17/2020,02/17/2020,JOO: Add light to aid germination,Greenhouse Activity,Tony Gilkerson,Talinum (fame flower) Jewels of Opar | TAL-JEWOO 02/17/2020 ,,Seed Starting,,,"For this crop
* do not cover the seeds as light aids germination
* install grow light in germination station for this flat",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,1.00
02/17/2020,02/17/2020,SS: Check the soil for moistness,Greenhouse Activity,Tony Gilkerson,Rudbeckia (Black-Eyed Susan) Cherry Brandy | RUD-CHEBR 02/15/2020 ,,Seed Starting,,,"Seeds will usually sprout before you need to water again, but check the soil for moistness after 2-3 days and bottom water again if the soil is dry.",,,0,,,,,,only sowed 56,,,,,,,,,,0.0,0.0,Yes,0.00
02/17/2020,02/17/2020,SS: Gather Supplies,Greenhouse Activity,Tony Gilkerson,Talinum (fame flower) Jewels of Opar | TAL-JEWOO 02/17/2020 ,,Organizing,,,"Gather the supplies need for starting seeds in flats:

* seeds
* Seed trays
* bottom flats
* seed starting mix
* fine vermiculite
* plant tags
* clear dome lids
* Nature's Intent fertilizer",,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,
02/17/2020,02/17/2020,Greenhouse Sow,Greenhouse Sow,Tony Gilkerson,Eucalyptus Silver Dollar | EUC-SILDL 02/17/2020 ,,,,,,,,0,,,,,,,,,,,,,,,,0.0,0.0,Yes,1.00
