Date,Category,Input,Crop,Location,Labor Cost,Input Cost,Total Cost,Description/Manufacturer,OMRI,Application Rate Amount,Application Rate Amount Units,Application Rate Amount Area,Total Cost For Amount,Total Cost For Amount Unit,Seeds Variety,Seeds Organic Treatment,Seeds Seed Company
02/16/2020,Labor,GH parts,,,$87.50,$58.37,$145.87,Cover top of greenhouse with plastic and frame in ends,,,,,$58.37,,,,
02/16/2020,Labor,,,,$10.00,,$10.00,Read Floret seed starting 101 pages 117 - 122,,,,,,,,,
02/16/2020,Labor,,,,$70.00,,$70.00,Help Tony cover greenhouse,,,,,,,,,
02/15/2020,Labor,,Rudbeckia (Black-Eyed Susan),,$37.50,,$37.50,,,,,,,,,,
02/15/2020,Labor,,Rudbeckia (Black-Eyed Susan),,$37.50,,$37.50,,,,,,,,,,
02/15/2020,Labor,,Rudbeckia (Black-Eyed Susan),,$37.50,,$37.50,,,,,,,,,,
02/15/2020,Labor,,Rudbeckia (Black-Eyed Susan),,$37.50,,$37.50,,,,,,,,,,
02/15/2020,Labor,,Rudbeckia (Black-Eyed Susan),,$37.50,,$37.50,,,,,,,,,,
02/13/2020,Fertilizers & Amendments,fish and seaweed fertilizer,,,,$19.00,$19.00,Neptune’s,No,,,,$19.00,,,,
02/13/2020,Soil/Compost,Germination Soil,,,,$48.00,$48.00,knollwood Espoma,,,,,$48.00,,,,
02/11/2020,Labor,,,,$50.00,,$50.00,Cover germination station with plastic and setup heater,,,,,,,,,
02/10/2020,Equipment,Germination Equipment,,,,$42.00,$42.00,Lowes:  plastic sheeting for germination shelves + Thermometers,,,,,$42.00,,,,
02/10/2020,Labor,,,,$100.00,,$100.00,,,,,,,,,,
02/10/2020,Sales/Marketing,Business Event/Meal,,,,$14.00,$14.00,Lunch: Hollon Flowers/Carolyn (Lefty's),,,,,$14.00,,,,
02/10/2020,Soil/Compost,Germination Soil,,,,$80.00,$80.00,Gardening Haven - Pro-Mix germination soil (3 x 79L),,,,,$80.00,,,,
02/09/2020,Labor,,,,$75.00,,$75.00,"This weekend I hope to at least do the following:

* attach the wiggle channel to GH frame
* frame up the ends

The plastic cover will have to wait for later, it is snowing and the conditions are bad",,,,,,,,,
