Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date,10th Rotation Planting Name,10th Rotation Crop,10th Rotation Start Date,10th Rotation End Date,11th Rotation Planting Name,11th Rotation Crop,11th Rotation Start Date,11th Rotation End Date,12th Rotation Planting Name,12th Rotation Crop,12th Rotation Start Date,12th Rotation End Date,13th Rotation Planting Name,13th Rotation Crop,13th Rotation Start Date,13th Rotation End Date,14th Rotation Planting Name,14th Rotation Crop,14th Rotation Start Date,14th Rotation End Date,15th Rotation Planting Name,15th Rotation Crop,15th Rotation Start Date,15th Rotation End Date,16th Rotation Planting Name,16th Rotation Crop,16th Rotation Start Date,16th Rotation End Date,17th Rotation Planting Name,17th Rotation Crop,17th Rotation Start Date,17th Rotation End Date,18th Rotation Planting Name,18th Rotation Crop,18th Rotation Start Date,18th Rotation End Date,19th Rotation Planting Name,19th Rotation Crop,19th Rotation Start Date,19th Rotation End Date,20th Rotation Planting Name,20th Rotation Crop,20th Rotation Start Date,20th Rotation End Date,21st Rotation Planting Name,21st Rotation Crop,21st Rotation Start Date,21st Rotation End Date,22nd Rotation Planting Name,22nd Rotation Crop,22nd Rotation Start Date,22nd Rotation End Date,23rd Rotation Planting Name,23rd Rotation Crop,23rd Rotation Start Date,23rd Rotation End Date,24th Rotation Planting Name,24th Rotation Crop,24th Rotation Start Date,24th Rotation End Date,25th Rotation Planting Name,25th Rotation Crop,25th Rotation Start Date,25th Rotation End Date,26th Rotation Planting Name,26th Rotation Crop,26th Rotation Start Date,26th Rotation End Date,27th Rotation Planting Name,27th Rotation Crop,27th Rotation Start Date,27th Rotation End Date
Goat Field,GH,,FLW,1,500 ft,"Aster, Aster, Apricot Swirl Mix",Aster,03/14/2020,08/02/2020,"Aster, Aster, Harlekin Violet",Aster,03/14/2020,08/02/2020,"Rudbeckia (Black-Eyed Susan), Rudbeckia (Black-Eyed Susan), Cherry Brandy",Rudbeckia (Black-Eyed Susan),02/15/2020,08/24/2020,"Rudbeckia (Black-Eyed Susan), Rudbeckia (Black-Eyed Susan), Chim Chiminee Mix",Rudbeckia (Black-Eyed Susan),02/15/2020,08/24/2020,"Rudbeckia (Black-Eyed Susan), Rudbeckia (Black-Eyed Susan), Denver Daisy Film-Coated",Rudbeckia (Black-Eyed Susan),02/15/2020,08/23/2020,"Rudbeckia (Black-Eyed Susan), Rudbeckia (Black-Eyed Susan), Prairie Sun",Rudbeckia (Black-Eyed Susan),02/15/2020,08/23/2020,"Rudbeckia (Black-Eyed Susan), Rudbeckia (Black-Eyed Susan), Sahara",Rudbeckia (Black-Eyed Susan),02/15/2020,08/24/2020,"Celosia, Celosia, Cockscomb Coral Reef",Celosia,03/28/2020,07/17/2020,"Gomphrena (Globe Amaranth), Gomphrena (Globe Amaranth), Sunset Mix",Gomphrena (Globe Amaranth),03/29/2020,09/06/2020,"Gomphrena (Globe Amaranth), Gomphrena (Globe Amaranth), Pastel Mix",Gomphrena (Globe Amaranth),03/29/2020,09/06/2020,"Gomphrena (Globe Amaranth), Gomphrena (Globe Amaranth), White",Gomphrena (Globe Amaranth),03/29/2020,09/06/2020,"Scabiosa (Pincushion Flower), Annual, Fata Morgana",Scabiosa (Pincushion Flower),03/22/2020,08/25/2020,"Scabiosa (Pincushion Flower), Annual, Snowmaiden",Scabiosa (Pincushion Flower),03/22/2020,08/25/2020,"Stock, Stock, Avalanche Supreme",Stock,03/14/2020,08/17/2020,"Stock, Stock, Katz Formula Mix",Stock,03/14/2020,08/17/2020,"Zinnias, Zinnias, Lilliput Salmon",Zinnias,03/30/2020,08/27/2020,"Zinnias, Zinnias, Senora™",Zinnias,03/30/2020,08/27/2020,"Zinnias, Zinnias, Lilliput Mix",Zinnias,03/31/2020,08/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goat Field,GH,,GRN,2,500 ft,"Amaranthus, Amaranthus, Green Tails",Amaranthus,03/28/2020,06/27/2020,"Ammi (False Queen Anne's Lace), Ammi (False Queen Anne's Lace), Chocolate Lace",Ammi (False Queen Anne's Lace),03/09/2020,07/28/2020,"Ammi (False Queen Anne's Lace), Ammi (False Queen Anne's Lace), Green Mist",Ammi (False Queen Anne's Lace),03/09/2020,07/28/2020,"Ammi (False Queen Anne's Lace), Ammi (False Queen Anne's Lace), Green Mist",Ammi (False Queen Anne's Lace),03/28/2020,08/12/2020,"Ammi (False Queen Anne's Lace), Ammi (False Queen Anne's Lace), Chocolate Lace",Ammi (False Queen Anne's Lace),03/28/2020,08/12/2020,"Dusty Miller, Dusty Miller, New Look",Dusty Miller,02/26/2020,07/28/2020,"Eucalyptus, Eucalyptus, Parviflora",Eucalyptus,02/18/2020,08/22/2020,"Talinum (fame flower), Talinum (fame flower), Jewels of Opar",Talinum (fame flower),02/17/2020,10/30/2020,"Nicandra Physalodes, Nicandra Physalodes, Apple of Peru",Nicandra Physalodes,03/22/2020,08/29/2020,"Atriplex (Cut flower), Atriplex (Cut flower), Caramel Apple Mix",Atriplex (Cut flower),03/22/2020,09/08/2020,"Ornamental Grasses, Ornamental Grasses, Frosted Explosion",Ornamental Grasses,03/22/2020,08/07/2020,"Eucalyptus, Eucalyptus, Silver Dollar",Eucalyptus,02/17/2020,08/21/2020,"Orlaya, Orlaya, White Finch",Orlaya,03/16/2020,08/17/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Barn,Germ,,FLW,1,320 ft,"Aster, Aster, Chamois Apricot",Aster,04/08/2020,08/21/2020,"Aster, Aster, Valkyrie Pink",Aster,04/08/2020,08/21/2020,"Celosia, Celosia, Texas Plume Summer Sherbert",Celosia,04/08/2020,07/29/2020,"Celosia, Celosia, Pampas Plume",Celosia,04/08/2020,07/25/2020,"Marigold, Marigold, Giant Yellow",Marigold,04/08/2020,09/19/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Barn,Germ,,GRN,2,320 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Casper Patch,,,1,40 ft,"Pumpkins, Specialty, Casper",Pumpkins,06/27/2020,10/10/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Flat Stacker Patch,,,1,40 ft,"Pumpkins, Medium, Flat Stacker",Pumpkins,06/27/2020,10/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Gourd Patch,,,1,40 ft,"Gourds, Large, Ornamental Mix",Gourds,06/27/2020,10/14/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Howden Patch,,,1,40 ft,"Pumpkins, Large, Howden",Pumpkins,06/27/2020,11/17/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,FLW,1,80 ft,"Ranunculus, Ranunculus, Bridal Mix",Ranunculus,04/11/2020,08/08/2020,"Ranunculus, Ranunculus, Purple/ White Picotee",Ranunculus,04/11/2020,08/08/2020,"Ranunculus, Ranunculus, Violet",Ranunculus,04/11/2020,08/08/2020,"Ranunculus, Ranunculus, Pink/ White",Ranunculus,04/11/2020,08/08/2020,"Ranunculus, Ranunculus, Romantic Mix",Ranunculus,04/11/2020,08/08/2020,"Ranunculus, Ranunculus, White",Ranunculus,04/11/2020,08/08/2020,"Ranunculus, Ranunculus, Red",Ranunculus,04/11/2020,08/08/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,FLW,2,80 ft,"Dahlias, Mid Blooming, Black Satin (Sm 2-4”)",Dahlias,05/07/2020,10/04/2020,"Dahlias, Mid Blooming, Café Au Lait (XL)",Dahlias,05/09/2020,10/06/2020,"Dahlias, Mid Blooming, Cornel (Sm 4”)",Dahlias,05/07/2020,10/04/2020,"Dahlias, Mid Blooming, Franz Kafka (Sm 2-3”)",Dahlias,05/07/2020,10/04/2020,"Dahlias, Mid Blooming, Jan Ryecroft (Sm 4”)",Dahlias,05/07/2020,10/04/2020,"Dahlias, Mid Blooming, Lancresse (Med 4-6“)",Dahlias,05/08/2020,10/05/2020,"Dahlias, Mid Blooming, Peaches n Cream (Med 4-6“)",Dahlias,05/08/2020,10/05/2020,"Dahlias, Mid Blooming, Shiloh Noelle (XL 10”)",Dahlias,05/09/2020,10/06/2020,"Dahlias, Mid Blooming, Thomas Edison (Med 6”)",Dahlias,05/08/2020,10/05/2020,"Dahlias, Mid Blooming, BoomBoom White (Med 6”)",Dahlias,05/08/2020,10/05/2020,"Dahlias, Mid Blooming, Conn.Coral (Med)",Dahlias,05/08/2020,10/05/2020,"Dahlias, Mid Blooming, Dorothy (Sm)",Dahlias,05/07/2020,10/04/2020,"Dahlias, Mid Blooming, Hamari Gold (XL 10”)",Dahlias,05/09/2020,10/06/2020,"Dahlias, Mid Blooming, Lady Natalie (Sm 4”)",Dahlias,05/07/2020,10/04/2020,"Dahlias, Mid Blooming, Mystique (Med 4-6“)",Dahlias,05/08/2020,10/05/2020,"Dahlias, Mid Blooming, Penhill Watermelon (XL 10”)",Dahlias,05/09/2020,10/06/2020,"Dahlias, Mid Blooming, Sweet Nathalie (Med. 5”)",Dahlias,05/08/2020,10/05/2020,"Dahlias, Mid Blooming, Wizard of Oz (Sm 3”)",Dahlias,05/07/2020,10/04/2020,"Dahlias, Mid Blooming, Otto’s Thrill (XL)",Dahlias,05/09/2020,10/06/2020,"Anemone, Mid Blooming, De Caen Blue White Mix",Anemone,04/18/2020,07/25/2020,"Anemone, Mid Blooming, Lord Lieutenant",Anemone,04/18/2020,07/25/2020,"Anemone, Mid Blooming, De Caen White",Anemone,04/18/2020,07/25/2020,"Anemone, Mid Blooming, Mix Super Bag",Anemone,04/18/2020,07/25/2020,"Dahlias, Mid Blooming, Golden Scepter (Sm 2”)",Dahlias,05/07/2020,10/04/2020,"Dahlias, Mid Blooming, Lucky Number",Dahlias,05/10/2020,10/07/2020,"Dahlias, Mid Blooming, Eye Opener Blend",Dahlias,05/10/2020,10/07/2020,"Dahlias, Mid Blooming, Noordwijks Glorie",Dahlias,05/10/2020,10/07/2020
