Date,Creator,Note,Plantings,Location
02/09/2020,Tony Gilkerson,foliage,Nicandra Physalodes in L9,
02/09/2020,Tony Gilkerson,foliage,Nicandra Physalodes in L9,
02/09/2020,Tony Gilkerson,foliage,Eucalyptus in L9,
02/09/2020,Tony Gilkerson,foliage,Eucalyptus in L9,
02/09/2020,Tony Gilkerson,foliage,Eucalyptus in L9,
02/09/2020,Tony Gilkerson,foliage,Eucalyptus in L9,
02/09/2020,Tony Gilkerson,foliage,Ornamental Grasses in L10,
02/09/2020,Tony Gilkerson,foliage,Dusty Miller in L10,
02/09/2020,Tony Gilkerson,foliage,Dusty Miller in L10,
02/09/2020,Tony Gilkerson,foliage,Ornamental Grasses in L10,
02/09/2020,Tony Gilkerson,foliage,Amaranthus in L9,
02/09/2020,Tony Gilkerson,foliage,Geranium (scented) in L9,
02/09/2020,Tony Gilkerson,foliage,Atriplex (Cut flower) in L9,
02/09/2020,Tony Gilkerson,foliage,Amaranthus in L9,
02/09/2020,Tony Gilkerson,foliage,Nicandra Physalodes in L9,
02/09/2020,Tony Gilkerson,foliage,Nicandra Physalodes in L9,
02/09/2020,Tony Gilkerson,foliage,Eucalyptus in L9,
02/09/2020,Tony Gilkerson,foliage,Eucalyptus in L9,
02/09/2020,Tony Gilkerson,foliage,Eucalyptus in L9,
02/09/2020,Tony Gilkerson,foliage,Eucalyptus in L9,
02/09/2020,Tony Gilkerson,foliage,Ornamental Grasses in L10,
02/09/2020,Tony Gilkerson,foliage,Dusty Miller in L10,
02/09/2020,Tony Gilkerson,foliage,Dusty Miller in L10,
02/09/2020,Tony Gilkerson,foliage,Ornamental Grasses in L10,
02/09/2020,Tony Gilkerson,foliage,Amaranthus in L10,
02/09/2020,Tony Gilkerson,foliage,Amaranthus in L10,
02/09/2020,Tony Gilkerson,foliage,,
02/09/2020,Tony Gilkerson,foliage,Basil in L10,
02/09/2020,Tony Gilkerson,foliage,Basil in L10,
02/09/2020,Tony Gilkerson,foliage,Basil in L10,
02/09/2020,Tony Gilkerson,foliage,Amaranthus in L10,
02/09/2020,Tony Gilkerson,foliage,Basil in L10,
02/09/2020,Tony Gilkerson,foliage,Basil in L10,
02/09/2020,Tony Gilkerson,filler,Mignonette in L8,
02/09/2020,Tony Gilkerson,filler,Mignonette in L8,
02/09/2020,Tony Gilkerson,filler,Cress in L8,
02/09/2020,Tony Gilkerson,filler,Cress in L8,
02/09/2020,Tony Gilkerson,filler,Gypsophila (Baby's Breath) in L8,
02/09/2020,Tony Gilkerson,filler,Cress in L7,
02/09/2020,Tony Gilkerson,filler,Cress in L7,
02/09/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L7,
02/09/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L7,
02/09/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L7,
02/09/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L7,
02/09/2020,Tony Gilkerson,filler,Larkspur in L6,
02/09/2020,Tony Gilkerson,filler,Larkspur in L6,
02/09/2020,Tony Gilkerson,filler,Larkspur in L6,
02/09/2020,Tony Gilkerson,filler,Larkspur in L6,
02/09/2020,Tony Gilkerson,filler,Yarrow in L7,
02/09/2020,Tony Gilkerson,filler,Yarrow in L6,
02/09/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L6,
02/09/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L6,
02/09/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L6,
02/09/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L7,
02/09/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L7,
02/09/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L7,
02/09/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L7,
02/08/2020,Tony Gilkerson,filler,Cress in L8,
02/08/2020,Tony Gilkerson,filler,Cress in L8,
02/08/2020,Tony Gilkerson,filler,Cress in L8,
02/08/2020,Tony Gilkerson,filler,Cress in L8,
02/08/2020,Tony Gilkerson,filler,Mignonette in L8,
02/08/2020,Tony Gilkerson,filler,Shiso in L8,
02/08/2020,Tony Gilkerson,filler,Cress in L7,
02/08/2020,Tony Gilkerson,filler,Cress in L7,
02/08/2020,Tony Gilkerson,filler,Mignonette in L8,
02/08/2020,Tony Gilkerson,filler,Mignonette in L8,
02/08/2020,Tony Gilkerson,filler,Larkspur in L6,
02/08/2020,Tony Gilkerson,filler,Larkspur in L6,
02/08/2020,Tony Gilkerson,filler,Larkspur in L6,
02/08/2020,Tony Gilkerson,filler,Larkspur in L6,
02/08/2020,Tony Gilkerson,filler,Shiso in L7,
02/08/2020,Tony Gilkerson,filler,Mignonette in L7,
02/08/2020,Tony Gilkerson,filler,Mignonette in L7,
02/08/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L7,
02/08/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L7,
02/08/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L7,
02/08/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L7,
02/08/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L6,
02/08/2020,Tony Gilkerson,filler,Ammi (False Queen Anne's Lace) in L6,
02/08/2020,Tony Gilkerson,filler,Yarrow in L7,
02/08/2020,Tony Gilkerson,filler,Yarrow in L6,
02/08/2020,Tony Gilkerson,filler,Talinum (fame flower) in L6,
02/08/2020,Tony Gilkerson,filler,Talinum (fame flower) in L6,
02/08/2020,Tony Gilkerson,filler,Talinum (fame flower) in L6,
02/08/2020,Tony Gilkerson,foliage,Basil in L10,
02/08/2020,Tony Gilkerson,foliage,Basil in L10,
02/08/2020,Tony Gilkerson,foliage,,
02/08/2020,Tony Gilkerson,foliage,Amaranthus in L10,
02/08/2020,Tony Gilkerson,foliage,Basil in L10,
02/08/2020,Tony Gilkerson,foliage,Amaranthus in L10,
02/08/2020,Tony Gilkerson,foliage,Amaranthus in L10,
02/08/2020,Tony Gilkerson,foliage,Ornamental Grasses in L10,
02/08/2020,Tony Gilkerson,foliage,Amaranthus in L9,
02/08/2020,Tony Gilkerson,foliage,Nicandra Physalodes in L9,
02/08/2020,Tony Gilkerson,foliage,Nicandra Physalodes in L9,
02/08/2020,Tony Gilkerson,foliage,Ornamental Grasses in L10,
02/08/2020,Tony Gilkerson,foliage,Atriplex (Cut flower) in L9,
02/08/2020,Tony Gilkerson,foliage,Geranium (scented) in L9,
02/08/2020,Tony Gilkerson,foliage,Geranium (scented) in L9,
02/08/2020,Tony Gilkerson,foliage,Dusty Miller in L10,
02/08/2020,Tony Gilkerson,foliage,Dusty Miller in L10,
